Links,Author,Headline,Date
https://www.theverge.com/23669598/super-mario-bros-movie-review,Charles Pulliam-Moore,The Super Mario Bros. Movie is the new gold standard for video game films,4/04/2023
https://www.theverge.com/2023/4/4/23670193/spotify-live-shut-down-obamas-audible-amazon-jay-shetty-iheart,Ariel Shapiro,Spotify shows how the live audio boom has gone bust,4/04/2023
https://www.theverge.com/tech/23653544/pop-up-website-ad-ui-design,s.e. smith,The revenge of the pop-up,4/04/2023
https://www.theverge.com/games/23653870/crusader-kings-3-design-ui,Gita Jackson,The hellish design of the Crusader Kings video games,4/04/2023
https://www.theverge.com/2023/4/4/23669875/asus-rog-ally-handheld-gaming-pc-announcement,Jay Peters,Asus announced its handheld gaming PC in the worst way possible,4/04/2023
https://www.theverge.com/2023/4/4/23669641/pokemon-stadium-n64-nintendo-switch-online-release-date,Jay Peters,Pokémon Stadium is coming to Nintendo Switch Online next week — but with a catch,4/04/2023
